t,az
3273.10,5742
3275.10,5742
3277.08,5732
3279.05,5750
3281.03,5726
3283.00,5702
3285.00,5688
3286.98,5666
3288.95,5640
3290.93,5630
3292.90,5612
3294.90,5578
3296.88,5556
3298.85,5532
3300.83,5534
3302.80,5544
3304.70,5548
3306.70,5568
3308.70,5584
3310.70,5584
3312.70,5574
3314.60,5542
3316.58,5498
3318.55,5498
3320.53,5476
3322.50,5442
3324.50,5402
3326.48,5402
3328.45,5404
3330.43,5404
3332.40,5378
3334.40,5378
3336.38,5358
3338.35,5358
3340.33,5332
3342.30,5318
3344.30,5298
3346.28,5292
3348.25,5290
3350.23,5302
3352.20,5324
3354.20,5364
3356.18,5398
3358.15,5452
3360.13,5510
3362.10,5564
3364.10,5604
3366.08,5672
3368.05,5776
3370.03,5882
3372.00,6044
3373.90,6218
3375.90,6362
3377.90,6446
3379.90,6458
3381.90,6358
3383.80,6144
3385.78,5866
3387.75,5596
3389.73,5410
3391.70,5346
3393.70,5300
3395.68,5208
3397.65,5086
3399.63,4892
3401.60,4554
3403.60,4036
3405.58,3452
3407.55,3048
3409.53,3210
3411.50,4024
3413.50,5174
3415.48,6280
3417.45,7054
3419.43,7436
3421.40,7438
3423.40,7106
3425.38,6602
3427.35,6044
3429.33,5556
3431.30,5192
3433.30,4962
3435.28,4778
3437.25,4628
3439.23,4552
3441.20,4580
3443.10,4706
3445.10,4920
3447.10,5164
3449.10,5376
3451.10,5552
3453.00,5670
3454.98,5730
3456.95,5790
3458.93,5818
3460.90,5802
3462.90,5720
3464.88,5592
3466.85,5428
3468.83,5254
3470.80,5108
3472.80,4970
3474.78,4870
3476.75,4826
3478.73,4830
3480.70,4910
3482.70,5018
3484.68,5130
3486.65,5224
3488.63,5326
3490.60,5394
3492.60,5434
3494.58,5500
3496.55,5544
3498.53,5588
3500.50,5626
3502.50,5648
3504.48,5672
3506.45,5690
3508.43,5660
3510.40,5624
3512.30,5580
3514.28,5538
3516.25,5482
3518.23,5468
3520.20,5482
3522.20,5460
3524.18,5426
3526.15,5420
3528.13,5458
3530.10,5504
3532.10,5504
3534.08,5498
3536.05,5502
3538.03,5504
3540.00,5484
3542.00,5468
3543.98,5486
3545.95,5496
3547.93,5500
3549.90,5540
